ques_id,question
67,联通“格物”平台帮助解决了南京南部新城项目建设过程中的哪些难题？
68,国资委党委党史学习教育总结会议上指出，国资央企系统应勇于自我革命，并坚决反对哪些主义？
69,国务院国资委党委举办党纪学习教育读书班的目的是什么？
70,中国联通在第五届“绽放杯”5G应用征集大赛中获得了哪些奖项？
71,中国联通如何通过5G技术帮助金珠沙梨产业升级？
72,联通云PaaS平台提供的自研操作系统名字叫什么？
73,2024年7月19日，中国联通人工智能创新中心经过半年的技术钻研与应用实践，推出了元景2.0，实现了哪几项能力升级？
74,2024年7月19日发布的元景2.0包括哪三大基础模型？
75,中国联通的冬奥网络是按照什么核心理念进行规划的？
76, 5G技术在北京冬奥会中的应用将带来哪些特点？
77,智慧医疗在5G环境下能实现哪些功能？
78,“中国联通智算联盟”的愿景是什么？
79,联通云联合晋云科技打造的“能源智算云”是基于什么需求？
80,中国联通在什么中提出了业界首页L4级蓝图？
81,中国联通的主营业务包括哪两类？
82,中国联通旗下哪家公司入选国资委“创建世界一流专精特新示范企业”？
83,截至2024年4月，联通数字乡村平台分别覆盖和服务了多少个行政村和村户？
84,中国联通推出的专属反诈号码是多少？
85,中国联通党员干部在主题教育中要把握什么总要求？
86,北京联通重要通信保障团队的刘申申要实现哪三个“零”目标？
87,中国联通在政务大数据平台建设方面有哪些成果？
88,中国联通在数字经济平台建设方面有哪些成果？
89,中国联通在浙江数字机关建设方面有哪些成果？
90,中国联通自主研发的什么平台被国家博物馆永久收藏？
91,中国联通建立了什么平台，来实现涉诈号码精准发现、快速处置？
92,河南联通针对3G网络升级进度不一的问题，采取了哪些措施？
93,2022年泰安肥城联通为听（视）障人士设计了哪两款通信产品？
94,上海联通北区分公司通过贯彻什么机制，培养业务骨干成为党员？
95,上海联通北区分公司设立的“共产党员工程”明确了什么具体目标？
96,2018年中国联通大幅下调了国际漫游资费，具体体现在哪些方面？
97,2017年5月，中国联通两度大幅降低国际漫游资费，两次分别以什么为主要特征？
98,2017年，围绕服务“一带一路”沿线国家产业互联网发展，中国联通面向六类重点行业客户，打造了解决方案，分别是哪六类行业？
99,中国联通以“三强化三坚持”掀起大兴调查研究热潮重点“三强化三坚持”分别是指什么？
100,截至2017年12月26日，北京市2022年冬奥会和冬残奥会官方合作伙伴已达五家，分别是哪几家？
